ID;NAZEV;OKRES;PLATNOSTOD;PLATNOSTDO;;;;;
554979;Abertamy;3403;2024-04-13;;;;;;
531367;Adamov;3205;2016-11-30;;;;;;
535826;Adamov;3301;2024-04-14;;;;;;
581291;Adamov;3701;2024-04-13;;;;;;
547786;Adršpach;3605;2024-04-13;;;;;;
598925;Albrechtice;3803;2024-04-12;;;;;;
547981;Albrechtice;3611;2024-04-12;;;;;;
576077;Albrechtice nad Orlicí;3607;2024-04-12;;;;;;
549258;Albrechtice nad Vltavou;3305;2024-04-13;;;;;;
563528;Albrechtice v Jizerských horách;3504;2024-04-13;;;;;;
568741;Albrechtičky;3804;2024-04-13;;;;;;
506761;Alojzov;3709;2024-04-13;;;;;;
538001;Andělská Hora;3403;2024-04-14;;;;;;
551929;Andělská Hora;3801;2024-04-13;;;;;;
573426;Anenská Studánka;3611;2024-04-14;;;;;;
586030;Archlebov;3706;2024-04-12;;;;;;
509388;Arneštovice;3304;2023-11-21;;;;;;
586854;Arnolec;3707;2024-04-13;;;;;;
562343;Arnoltice;3502;2024-04-14;;;;;;
554499;Aš;3402;2024-04-12;;;;;;
569828;Babice;3602;2020-03-20;;;;;;
537241;Babice;3306;2024-04-14;;;;;;
592013;Babice;3711;2024-04-14;;;;;;
538043;Babice;3209;2024-04-13;;;;;;
552356;Babice;3805;2024-04-13;;;;;;
590274;Babice;3710;2024-04-14;;;;;;
582794;Babice nad Svitavou;3703;2024-04-13;;;;;;
582808;Babice u Rosic;3703;2024-04-13;;;;;;
553433;Babylon;3401;2024-04-13;;;;;;
535427;Bakov nad Jizerou;3207;2024-04-13;;;;;;
595217;Baliny;3714;2024-04-14;;;;;;
563251;Balkova Lhota;3308;2015-06-05;;;;;;
593729;Bantice;3713;2024-04-14;;;;;;
572560;Banín;3609;2024-04-13;;;;;;
569836;Barchov;3602;2024-04-13;;;;;;
574724;Barchov;3606;2024-04-14;;;;;;
533173;Barchovice;3204;2024-04-14;;;;;;
548260;Bartoušov;3601;2024-02-12;;;;;;
599212;Bartošovice;3804;2024-04-12;;;;;;
576093;Bartošovice v Orlických horách;3607;2024-04-14;;;;;;
586862;Batelov;3707;2024-04-13;;;;;;
579041;Batňovice;3610;2024-04-13;;;;;;
550809;Bavorov;3307;2024-04-14;;;;;;
584304;Bavory;3704;2024-04-13;;;;;;
534421;Bavoryně;3202;2024-04-14;;;;;;
553701;Bačalky;3604;2022-07-20;;;;;;
576085;Bačetín;3607;2024-04-13;;;;;;
590282;Bačice;3710;2024-04-12;;;;;;
546194;Bačkov;3601;2024-04-13;;;;;;
544833;Bačkovice;3710;2020-04-01;;;;;;
588300;Bařice-Velké Těšany;3708;2024-04-14;;;;;;
598011;Baška;3802;2024-04-12;;;;;;
572667;Bašnice;3604;2024-04-13;;;;;;
538051;Bašť;3209;2024-04-12;;;;;;
566756;Bdeněves;3407;2024-04-14;;;;;;
565423;Bdín;3212;2015-06-05;;;;;;
564575;Bechlín;3506;2024-04-14;;;;;;
552054;Bechyně;3308;2024-04-13;;;;;;
589268;Bedihošť;3709;2024-04-13;;;;;;
562548;Bednárec;3303;2024-04-14;;;;;;
561053;Bednáreček;3303;2024-04-14;;;;;;
581313;Bedřichov;3701;2022-12-14;;;;;;
563536;Bedřichov;3504;2024-04-14;;;;;;
576981;Benecko;3608;2024-04-12;;;;;;
590304;Benetice;3710;2024-04-12;;;;;;
581330;Benešov;3701;2024-04-13;;;;;;
529303;Benešov;3201;2024-04-14;;;;;;
562351;Benešov nad Ploučnicí;3502;2024-04-13;;;;;;
545406;Benešov nad Černou;3302;2024-04-14;;;;;;
576999;Benešov u Semil;3608;2024-04-13;;;;;;
560723;Benešovice;3410;2024-04-13;;;;;;
577774;Benátky;3609;2024-04-13;;;;;;
569861;Benátky;3602;2024-04-14;;;;;;
535451;Benátky nad Jizerou;3207;2024-04-13;;;;;;
531111;Bernardov;3205;2024-04-12;;;;;;
549266;Bernartice;3305;2020-03-27;;;;;;
532568;Bernartice;3201;2020-03-20;;;;;;
524891;Bernartice;3811;2024-04-14;;;;;;
579050;Bernartice;3610;2024-04-12;;;;;;
568481;Bernartice nad Odrou;3804;2024-04-12;;;;;;
531057;Beroun;3202;2024-04-12;;;;;;
545414;Besednice;3302;2024-04-12;;;;;;
560740;Bezdružice;3410;2024-04-13;;;;;;
598895;Bezdědovice;3307;2024-04-14;;;;;;
541095;Bezděkov;3408;2024-04-14;;;;;;
574741;Bezděkov;3606;2024-04-13;;;;;;
548430;Bezděkov;3601;2024-04-13;;;;;;
555801;Bezděkov;3404;2024-04-13;;;;;;
573884;Bezděkov nad Metují;3605;2024-04-12;;;;;;
529672;Bezděkov pod Třemšínem;3211;2015-06-05;;;;;;
561398;Bezděz;3501;2024-04-12;;;;;;
574309;Bezděčí u Trnávky;3609;2024-04-13;;;;;;
593745;Bezkov;3713;2024-04-12;;;;;;
588326;Bezměrov;3708;2024-04-13;;;;;;
535478;Bezno;3207;2024-04-13;;;;;;
512401;Bezuchov;3808;2024-04-13;;;;;;
558656;Bezvěrov;3407;2024-04-12;;;;;;
536156;Bečice;3301;2024-04-14;;;;;;
563366;Bečice;3308;2024-04-14;;;;;;
567043;Bečov;3508;2024-04-12;;;;;;
554995;Bečov nad Teplou;3403;2024-04-12;;;;;;
533181;Bečváry;3204;2024-04-14;;;;;;
512281;Beňov;3808;2024-04-13;;;;;;
532088;Beřovice;3203;2024-04-14;;;;;;
582832;Biskoupky;3703;2024-04-14;;;;;;
573949;Biskupice;3603;2020-03-20;;;;;;
585076;Biskupice;3705;2024-04-12;;;;;;
589284;Biskupice;3709;2024-04-12;;;;;;
572519;Biskupice;3609;2024-04-14;;;;;;
590312;Biskupice-Pulkov;3710;2024-04-14;;;;;;
565997;Bitozeves;3507;2024-04-14;;;;;;
578088;Biřkov;3404;2024-04-14;;;;;;
593761;Blanné;3713;2024-04-14;;;;;;
581283;Blansko;3701;2024-04-13;;;;;;
561401;Blatce;3501;2024-04-14;;;;;;
500801;Blatec;3805;2024-04-13;;;;;;
558672;Blatnice;3407;2024-04-14;;;;;;
590321;Blatnice;3710;2024-04-13;;;;;;
586048;Blatnice pod Svatým Antonínkem;3706;2024-04-13;;;;;;
586056;Blatnička;3706;2024-04-13;;;;;;
562998;Blatno;3503;2024-04-14;;;;;;
566004;Blatno;3507;2024-04-13;;;;;;
550850;Blatná;3307;2024-04-13;;;;;;
542318;Blazice;3708;2024-04-13;;;;;;
561711;Blažejov;3303;2024-04-13;;;;;;
532380;Blažejovice;3201;2024-04-13;;;;;;
566012;Blažim;3507;2024-04-13;;;;;;
566764;Blažim;3407;2024-04-14;;;;;;
595241;Blažkov;3714;2024-04-13;;;;;;
582841;Blažovice;3703;2024-04-13;;;;;;
532100;Blevice;3203;2024-04-14;;;;;;
569879;Blešno;3602;2024-04-13;;;;;;
557587;Blovice;3406;2024-04-13;;;;;;
530964;Bludov;3205;2017-09-14;;;;;;
525588;Bludov;3809;2024-04-13;;;;;;
582859;Blučina;3703;2024-04-13;;;;;;
595250;Blízkov;3714;2024-04-13;;;;;;
553450;Blížejov;3401;2024-04-13;;;;;;
561410;Blíževedly;3501;2024-04-14;;;;;;
593770;Blížkovice;3713;2024-04-14;;;;;;
566021;Blšany;3507;2011-07-02;;;;;;
542547;Blšany u Loun;3507;2024-04-13;;;;;;
537039;Bobnice;3208;2024-04-13;;;;;;
