ID,OBEC,POPIS
1,554979,36235
2,531367,59367
3,535826,59367
4,581291,59367
5,547786,59367
6,598925,59367
7,547981,59367
8,576077,51722
9,549258,39816
10,563528,46843
11,568741,74255
12,506761,59367
13,538001,59367
14,551929,59367
15,573426,59367
16,586030,69633
17,509388,59367
18,586854,59367
19,562343,59367
20,554499,59367
21,569828,59367
22,537241,59367
23,592013,59367
24,538043,59367
25,552356,59367
26,590274,59367
27,582794,59367
28,582808,59367
29,553433,59367
30,535427,29401
31,595217,59367
32,563251,59367
33,593729,59367
34,572560,59367
35,569836,59367
36,574724,59367
37,533173,59367
38,548260,59367
39,599212,59367
40,576093,59367
41,586862,58851
42,579041,54237
43,550809,38773
44,584304,59367
45,534421,59367
46,553701,59367
47,576085,59367
48,590282,59367
49,546194,59367
50,544833,59367
51,588300,59367
52,598011,73901
53,572667,59367
54,538051,25085
55,566756,59367
56,565423,59367
57,564575,41186
58,552054,39165
59,589268,79821
60,562548,59367
61,561053,59367
62,581313,46812
63,563536,46812
64,576981,51237
65,590304,59367
66,581330,59367
67,529303,59367
68,562351,40722
69,545406,38282
70,576999,51206
71,560723,59367
72,577774,59367
73,569861,59367
74,535451,59367
75,531111,59367
76,549266,59367
77,532568,59367
78,524891,59367
79,579050,59367
80,568481,59367
81,531057,59367
82,545414,38281
83,560740,34953
84,598895,59367
85,541095,59367
86,574741,59367
87,548430,59367
88,555801,59367
89,573884,54964
90,529672,59367
91,561398,59367
92,574309,59367
93,593745,59367
94,588326,59367
95,535478,29429
96,512401,59367
97,558656,33041
98,536156,59367
99,563366,59367
100,567043,59367
101,554995,36464
102,533181,28143
103,512281,59367
104,532088,59367
105,582832,59367
106,573949,59367
107,585076,59367
108,589284,59367
109,572519,59367
110,590312,59367
111,565997,59367
112,578088,59367
113,593761,59367
114,581283,59367
115,561401,59367
116,500801,59367
117,558672,59367
118,590321,59367
119,586048,69671
120,586056,59367
121,562998,59367
122,566004,59367
123,550850,38801
124,542318,59367
125,561711,37852
126,532380,59367
127,566012,59367
128,566764,59367
129,595241,59367
130,582841,66408
131,532100,59367
132,569879,59367
133,557587,33601
134,530964,78961
135,525588,78961
136,582859,66456
137,595250,59367
138,553450,34545
139,561410,47104
140,593770,67155
141,566021,43988
142,542547,59367
143,537039,28931
144,595268,59255
145,595276,59367
146,511633,59367
147,555029,36471
148,590347,59367
149,512532,59367
150,569887,59367
151,561428,59367
152,592897,59367
153,595284,59367
154,592901,59367
155,595292,59213
156,536253,59367
157,547549,39491
158,533980,59367
159,576115,59367
160,525804,78964
161,564559,59367
162,550116,59367
163,599051,59367
164,537527,59367
165,573892,59367
166,589292,59367
167,506192,59367
168,586901,59367
169,525880,59367
170,557102,59367
171,585092,76351
172,569178,59367
173,593788,59367
174,525979,26241
175,539953,26241
176,577812,59367
177,595306,59367
178,577821,78314
179,500852,78314
180,550400,59367
181,597201,59367
182,564591,41156
183,566471,59367
184,572705,59367
185,571202,53826
186,539104,59367
187,593796,59367
188,568457,59367
189,592048,68771
190,506214,74723
191,563005,43121
192,576123,51731
193,584321,69112
194,545422,59367
195,555835,59367
196,540463,59367
197,560758,59367
198,547867,59367
199,595314,59367
200,568431,59367
201,548979,37367
202,534684,37367
203,568465,37367
204,544272,37367
205,574783,37367
206,535508,59367
207,584339,69175
208,552097,59367
209,576131,51724
210,593800,26215
211,539970,26215
212,552101,59367
213,581356,59367
214,598780,37312
215,544281,37312
216,535681,54477
217,532096,54477
218,579092,54477
219,595322,54477
220,576140,54477
221,548821,59367
222,566705,59367
223,587184,59367
224,595331,59367
225,542156,59367
226,573906,59367
227,577839,59367
228,545902,38492
229,572632,59367
230,595641,59461
231,592064,59367
232,592056,68763
233,586927,59367
234,544299,37382
235,535516,59367
236,581372,68001
237,593818,59367
238,562122,59367
239,571237,59367
240,589306,59367
241,500861,78325
242,577006,51213
243,573558,59367
244,538086,59367
245,549690,59367
246,561240,59367
247,584347,59367
248,562742,59367
249,509418,59367
250,571229,59367
251,567469,59367
252,581364,59367
253,550124,59367
254,535401,59367
255,592919,59367
256,548006,59367
257,573914,54974
258,547581,39461
259,549291,59367
260,593826,67164
261,555045,59367
262,506486,36262
263,549100,59367
264,570788,59367
265,577014,59367
266,552127,59367
267,530832,59367
268,567078,43547
269,538094,59367
270,579947,56112
271,532118,27341
272,549304,59367
273,551490,59367
274,593834,67177
275,554197,59367
276,592927,59367
277,541648,75645
278,526169,59367
279,541672,59367
280,590363,59367
281,597210,79393
282,582875,59367
283,571946,59367
284,539988,59367
285,537063,27363
286,532142,27363
287,569437,59367
288,582883,59367
289,531286,59367
290,585106,59367
291,547603,59367
292,553107,59367
293,571199,59367
294,556858,74281
295,567060,43522
296,532126,59367
297,500101,59367
298,545431,38206
299,574791,38206
300,561444,47129
301,582786,59367
302,530727,59367
303,566136,59367
304,577863,56904
305,584355,59367
306,541605,59367
307,535559,59367
308,546895,59367
309,589314,79846
310,589322,79807
311,512800,75103
312,566489,59367
313,573922,59367
314,541401,59367
315,531081,26742
316,564621,41181
317,586943,58832
318,590371,59367
319,581402,59367
320,585114,76331
321,506320,59367
322,584363,59367
323,597180,59367
324,588377,59367
325,598046,59367
326,598038,73944
327,573931,59367
328,586951,59367
329,546755,59367
330,538108,59367
331,564613,59367
332,581381,59367
333,560308,59367
334,531103,59367
335,592102,68708
336,595390,37892
337,546020,37892
338,537055,59367
339,577910,59367
340,552143,59367
341,590401,59367
342,506460,74787
343,568261,59367
344,561576,67542
345,590410,67542
346,560171,59367
347,564656,41118
348,547638,59367
349,546038,37891
350,548952,59367
351,555894,59367
352,589349,59367
353,545449,59367
354,559741,59367
355,512826,59367
356,537519,59367
357,595403,59367
358,564664,59367
359,552402,59367
360,532924,59367
361,586072,59367
362,560316,59367
363,553506,73985
364,511935,73985
365,547751,59367
366,581437,59367
367,581445,59367
368,574813,59367
369,574821,59367
370,577031,59367
371,581453,59367
372,574830,59367
373,535605,59367
374,530085,59367
375,589357,59367
376,546372,59367
377,540021,59367
378,573353,59367
379,584380,69189
380,563935,59367
381,549282,59367
382,529966,59367
383,579963,59367
384,592943,68501
385,558699,59367
386,561312,59367
387,540048,59367
388,550159,59367
389,559750,59367
390,532169,27343
391,532894,59367
392,534145,59367
393,571245,53801
394,544647,59367
395,547026,59367
396,500879,59367
397,561801,59367
398,577049,59367
399,577928,59367
400,576166,59367
401,567477,41761
402,579971,56154
403,529451,59367
404,572772,59367
405,598062,59367
406,595411,59301
407,588393,59367
408,592111,68755
409,541711,75624
410,576174,59367
411,534722,27732
412,586081,69681
413,531120,59367
414,561118,59367
415,592021,59367
416,562726,59367
417,562980,59367
418,535125,59367
419,567451,59367
420,530743,59367
421,530239,59367
422,546984,59367
423,599247,59367
424,592030,59367
425,582824,66401
426,589276,59367
427,550833,59367
428,552062,59367
429,548901,59367
430,563901,59367
431,598020,59367
432,565750,59367
433,500623,59367
434,579068,54472
435,525227,59367
436,533971,28572
437,579076,59367
438,563919,59367
439,586889,59367
440,546631,59367
441,576107,59367
442,597198,59367
443,535486,59367
444,593753,59367
445,554936,59367
446,505005,59367
447,586897,59367
448,533238,59367
449,534714,59367
450,569607,59367
451,581461,59367
452,546780,59367
453,512877,59367
454,595420,59367
455,574848,53322
456,572675,59367
457,541842,59367
458,593737,59367
459,560448,59367
460,581321,59367
461,535010,59367
462,569852,59367
463,500526,59367
464,532070,59367
465,512231,75364
466,588318,59367
467,567051,59367
468,533190,59367
469,561126,59367
470,573566,59367
471,512974,59367
472,576972,59367
473,553441,34526
474,572586,56905
475,535443,29421
476,523917,59367
477,505391,59367
478,550817,38743
479,537021,28908
480,553760,59367
481,571181,53845
482,555797,59367
483,531073,59367
484,559725,59367
485,584291,59367
486,536059,59367
487,574805,59367
488,588385,76823
489,592072,59367
490,548278,59367
491,595349,59367
492,559733,59367
493,507733,59367
494,535567,59367
495,549070,59367
496,581429,59367
497,582891,59367
498,592935,59367
499,577871,59367
500,572250,59367
501,577898,59367
502,540013,26272
503,552135,26272
504,538744,26272
505,535583,59367
506,563013,59367
507,590380,67574
508,592081,68713
509,599514,59367
510,537870,59367
511,560294,59367
512,585131,59367
513,506451,59367
514,592099,59367
515,531090,59367
516,505145,56902
517,599735,59367
518,589331,59367
519,595381,59367
520,530018,59367
521,595357,59367
522,564869,59367
523,584371,59367
524,595365,59367
525,585149,76345
526,541923,59367
527,565041,59367
528,593842,59367
529,533211,59367
530,533220,59367
531,597228,79351
532,566063,59367
533,537047,59367
534,564648,59367
535,548855,59367
536,567485,59367
537,560782,59367
538,550906,38752
539,586978,59367
540,559768,59367
541,509191,59367
542,572781,50777
543,577936,56953
544,586986,59367
545,533246,28102
546,549321,59367
547,531138,26761
548,588407,59367
549,563943,59367
550,581470,67938
551,547662,39411
552,564419,59367
553,568007,40317
554,534081,59367
555,531251,59367
556,556335,59367
557,565784,59367
558,568872,59367
559,563081,43157
560,554481,59367
561,551139,59367
562,559857,33806
563,512923,59367
564,532878,59367
565,599620,59367
566,576310,51745
567,556343,59367
568,529982,59367
569,590711,59367
570,540803,59367
571,557773,59367
572,561614,59367
573,529770,59367
574,560375,59367
575,546461,37804
576,595705,59367
577,550248,59367
578,568015,59367
579,536229,59367
580,570109,50351
581,595713,59367
582,540307,59367
583,534820,27743
584,566233,59367
585,557781,59367
586,595721,59367
587,534455,59367
588,548791,59367
589,532045,59367
590,590703,59367
591,534099,59367
592,529788,59367
593,572730,59367
594,536903,59367
595,557803,59367
596,529796,25724
597,580350,59367
598,535923,59367
599,553727,59367
600,564923,41171
601,534447,59367
602,578011,59367
603,560383,59367
604,553735,59367
605,564931,59367
606,560901,34813
607,553743,59367
608,560910,59367
609,549355,59367
610,502839,78322
611,575054,53361
612,541141,59367
613,572969,59367
614,562971,59367
615,588504,59367
616,532606,59367
617,578096,56942
618,534838,27737
619,542831,75642
620,549037,59367
621,575062,59367
622,539287,59367
623,540323,59367
624,564958,59367
625,564966,59367
626,561622,59367
627,578118,59367
628,552461,39137
