ID;POPIS;OBEC;PLATNOSTOD;PLATNOSTDO
19;Abertamy;554979;2020-05-27;
6548;Adamov;579025;2015-06-05;
35;Adamov;535826;2013-10-04;
171476;Adamov;531367;2013-10-04;
411540;Adamov;581291;2013-10-04;
1759;Adolfovice;523917;2013-10-07;
102911;Alberovice;530093;2014-01-15;
78;Albe¯;546798;2014-01-30;
317926;Albe¯ice;555711;2016-01-01;
142409;Albrechtice;596647;2014-03-13;
124;Albrechtice;598925;2020-05-29;
197858;Albrechtice;534188;2015-06-05;
116;Albrechtice;547981;2020-06-04;
159697;Albrechtice;557153;2014-03-26;
119130;Albrechtice;564303;2014-02-12;
86;Albrechtice;551015;2013-11-11;
175;Albrechtice nad OrlicÌ;576077;2020-06-02;
221;Albrechtice nad Vltavou;549258;2020-05-27;
25984;Albrechtice u Fr˝dlantu;564028;2013-11-12;
14982;Albrechtice u R˝ma¯ova;597228;2013-10-22;
281;Albrechtice v Jizersk˝ch hor·ch;563528;2020-06-16;
302;AlbrechtiËky;568741;2013-10-04;
189103;Albrechtovice;550680;2014-04-25;
318035;Aleje-Z·tiöÌ;554529;2015-06-05;
61123;Alenina Lhota;552534;2013-12-19;
55824;Alexovice;583120;2013-12-19;
174700;Alojzov;506761;2020-05-25;
119075;Alöovice;563749;2014-02-12;
196070;AlûbÏtÌn;557528;2014-04-29;
150509;AmalÌn;597813;2014-03-21;
322385;Amerika;530905;2015-06-05;
408166;AndÏl Str·ûce;563579;2020-04-20;
197891;AndÏlice;556106;2013-11-07;
329;AndÏlka;564494;2014-04-22;
53813;AndÏlsk· Hora;564117;2013-10-24;
361;AndÏlsk· Hora;538001;2015-02-17;
160415;AndÏlsk· Hora;551929;2013-10-04;
370;Anensk· Stud·nka;573426;2013-10-04;
72231;Anensk· Ves;560456;2014-01-03;
32671;Annovice;560987;2013-11-11;
26514;AnnÌn;556076;2013-11-04;
62596;Antonka;548111;2013-12-19;
61514;AntonÌnov;563633;2013-12-19;
414841;AntonÌnova V˝öina;539074;2015-06-05;
157902;AntonÌn˘v D˘l;586846;2015-06-05;
396;Antoöovice;554821;2015-06-05;
400;Archlebov;586030;2020-05-12;
418;Arneötovice;509388;2020-05-25;
115819;Arnoldov;555428;2014-02-11;
426;Arnolec;586854;2013-10-07;
50091;Arnoltice;597414;2013-12-19;
16179;Arnoltice;563935;2013-10-22;
434;Arnoltice;562343;2020-06-09;
70424;Arnoltov;560294;2013-10-22;
65528;Arnoötka;550647;2014-04-16;
76325;Arnoötov;561673;2014-01-09;
16098;Arnoötov;573299;2014-02-11;
469;Arnoötovice;529702;2013-11-13;
60321;Arnultovice;597449;2014-01-02;
143383;Arnultovice;579645;2014-03-14;
88382;Arnultovice;555223;2014-04-15;
407062;Arnultovice;561860;2014-02-03;
104965;Artolec;546798;2014-01-30;
405507;Aö;554499;2020-05-27;
400939;Baba;529303;2013-10-08;
604;Babice;538043;2020-05-22;
64572;Babice;557871;2015-06-05;
55247;Babice;537241;2020-05-26;
612;Babice;569828;2020-05-12;
144932;Babice;538710;2014-03-14;
16209;Babice;561312;2013-10-22;
126632;Babice;555631;2014-04-01;
639;Babice;590274;2020-05-25;
655;Babice;592013;2020-05-04;
663;Babice;552356;2020-06-02;
680;Babice;542989;2015-06-05;
401358;Babice;530344;2014-02-05;
41378;Babice;553689;2013-12-19;
109622;Babice;569186;2014-02-05;
698;Babice nad Svitavou;582794;2020-05-05;
701;Babice u Rosic;582808;2020-05-05;
121509;Babina;559351;2014-02-13;
41718;Babiny I;568104;2015-06-05;
414905;Babiny II;567973;2015-06-05;
51578;Babolky;581917;2014-01-10;
710;Babylon;553433;2020-05-27;
101290;BabÌ;573868;2014-01-28;
591;BabÌ;579025;2014-04-03;
165824;BabÌn;548936;2014-04-01;
41874;BabÌn;556254;2013-11-20;
30554;BabËice;553328;2014-04-23;
415642;BabËice;530689;2015-06-05;
410250;Bacov;573205;2014-01-23;
20257;Bahno;534013;2013-10-29;
158518;Bakov;574481;2014-03-26;
3191;Bakov;532088;2013-10-08;
402621;Bakov nad Jizerou;535427;2013-10-07;
142484;Baldovec;589977;2014-03-13;
841;Baliny;595217;2013-10-07;
137928;Balkova Lhota;563251;2013-10-07;
28339;Balkovy;556106;2013-11-07;
167061;Balkov·;559482;2014-04-01;
884;Bantice;593729;2020-05-21;
850;BanÌn;572560;2013-10-07;
892;Barchov;569836;2013-10-07;
906;Barchov;574724;2013-10-07;
914;Barchovice;533173;2020-05-21;
949;Barch˘vek;570397;2014-01-21;
144941;Barochov;538710;2014-03-14;
51381;Barovice;569020;2014-01-14;
59633;Bartouöov;573001;2014-01-02;
95737;Bartouöov;548260;2013-10-07;
115088;Bartovice;554821;2014-02-11;
957;BartoÚov;540978;2014-03-14;
973;Bartoöovice;599212;2020-06-02;
981;Bartoöovice v Orlick˝ch hor·ch;576093;2020-06-02;
