ID;POPIS;KRAJ;KOD;PLATI_OD;PLATI_DO;
3201;Benešov;27;CZ0201;2022-12-07;;
3202;Beroun;27;CZ0202;2024-01-31;;
3701;Blansko;116;CZ0641;2023-10-10;;
3702;Brno-mìsto;116;CZ0642;2024-02-07;;
3703;Brno-venkov;116;CZ0643;2024-02-07;;
3801;Bruntál;132;CZ0801;2024-04-18;;
3704;Bøeclav;116;CZ0644;2023-04-11;;
3402;Cheb;51;CZ0411;2022-09-22;;
3503;Chomutov;60;CZ0422;2024-02-01;;
3603;Chrudim;94;CZ0531;2023-12-15;;
3401;Domažlice;43;CZ0321;2023-12-20;;
3502;Dìèín;60;CZ0421;2022-02-17;;
3802;Frýdek-Místek;132;CZ0802;2024-03-14;;
3601;Havlíèkùv Brod;108;CZ0631;2023-03-24;;
3706;Hodonín;116;CZ0645;2021-11-09;;
3602;Hradec Králové;86;CZ0521;2024-03-18;;
3504;Jablonec nad Nisou;78;CZ0512;2023-12-21;;
3811;Jeseník;124;CZ0711;2021-01-02;;
3707;Jihlava;108;CZ0632;2023-11-10;;
3303;Jindøichùv Hradec;35;CZ0313;2023-10-24;;
3604;Jièín;86;CZ0522;2024-03-18;;
3403;Karlovy Vary;51;CZ0412;2023-06-21;;
3803;Karviná;132;CZ0803;2023-11-14;;
3203;Kladno;27;CZ0203;2023-12-22;;
3404;Klatovy;43;CZ0322;2024-03-25;;
3204;Kolín;27;CZ0204;2023-10-13;;
3708;Kromìøíž;141;CZ0721;2024-02-06;;
3205;Kutná Hora;27;CZ0205;2023-10-11;;
3505;Liberec;78;CZ0513;2023-12-21;;
3506;Litomìøice;60;CZ0423;2023-10-31;;
3507;Louny;60;CZ0424;2024-02-01;;
3207;Mladá Boleslav;27;CZ0207;2023-08-25;;
3508;Most;60;CZ0425;2021-11-01;;
3206;Mìlník;27;CZ0206;2023-08-25;;
3804;Nový Jièín;132;CZ0804;2024-03-14;;
3208;Nymburk;27;CZ0208;2023-07-14;;
3605;Náchod;86;CZ0523;2022-11-09;;
3805;Olomouc;124;CZ0712;2024-04-18;;
3806;Opava;132;CZ0805;2023-12-06;;
3807;Ostrava-mìsto;132;CZ0806;2021-01-02;;
3606;Pardubice;94;CZ0532;2021-08-16;;
3304;Pelhøimov;108;CZ0633;2023-01-03;;
3406;Plzeò-jih;43;CZ0324;2024-03-25;;
3405;Plzeò-mìsto;43;CZ0323;2024-02-01;;
3407;Plzeò-sever;43;CZ0325;2024-02-01;;
3306;Prachatice;35;CZ0315;2023-04-19;;
3209;Praha-východ;27;CZ0209;2023-10-13;;
3210;Praha-západ;27;CZ020A;2024-01-31;;
3709;Prostìjov;124;CZ0713;2023-12-05;;
3305;Písek;35;CZ0314;2022-05-26;;
3808;Pøerov;124;CZ0714;2024-02-06;;
3211;Pøíbram;27;CZ020B;2024-01-12;;
3212;Rakovník;27;CZ020C;2023-12-22;;
3408;Rokycany;43;CZ0326;2024-01-15;;
3607;Rychnov nad Knìžnou;86;CZ0524;2022-11-03;;
3608;Semily;78;CZ0514;2023-08-10;;
3409;Sokolov;51;CZ0413;2022-09-16;;
3307;Strakonice;35;CZ0316;2023-05-15;;
3609;Svitavy;94;CZ0533;2023-12-20;;
3410;Tachov;43;CZ0327;2023-12-15;;
3509;Teplice;60;CZ0426;2023-09-26;;
3610;Trutnov;86;CZ0525;2023-08-10;;
3308;Tábor;35;CZ0317;2024-01-23;;
3710;Tøebíè;108;CZ0634;2024-04-09;;
3711;Uherské Hradištì;141;CZ0722;2024-03-07;;
3810;Vsetín;141;CZ0723;2024-02-13;;
3712;Vyškov;116;CZ0646;2023-12-05;;
3705;Zlín;141;CZ0724;2024-03-07;;
3713;Znojmo;116;CZ0647;2023-01-12;;
3510;Ústí nad Labem;60;CZ0427;2023-09-26;;
3611;Ústí nad Orlicí;94;CZ0534;2024-03-01;;
9999;území Hlavního mìsta Prahy;19;CZ0100;2022-07-19;;
3501;Èeská Lípa;78;CZ0511;2023-06-17;;
3301;Èeské Budìjovice;35;CZ0311;2024-03-14;;
3302;Èeský Krumlov;35;CZ0312;2024-03-14;;
3809;Šumperk;124;CZ0715;2024-03-01;;
3714;Žïár nad Sázavou;108;CZ0635;2024-04-09;;
3100;Hlavní mìsto Praha;19;CZ0100;2021-01-02;2022-07-01;
